,chainId,dexId,baseToken,baseTokenAddress,quoteToken,quoteTokenAddress,pairAddress,liquidity,priceNative,ccxt
188,bsc,0x97bCD9BB482144291D77ee53bFa99317A82066E8,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,USDT,0x55d398326f99059fF775485246999027B3197955,0x3dafe6213fbdE2f74e7D5Be443d5d2AA258d74C7,"{""usd"":158908.2889044351,""base"":309.94,""quote"":79454}",310.2447,309.6
189,ethereum,sushiswap,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xC40D16476380e4037e6b1A2594cAF6a6cc8Da967,"{""usd"":1643575,""base"":146299,""quote"":657.8}",0.004431,6.948
190,bsc,niob,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xE2466652a46e47Fa278Be0A2ad8dce7c8445bE41,"{""usd"":107800.6248339071,""base"":210.01,""quote"":53900}",311.0195,309.6
191,polygon,quickswap,AVAX,0x2C89bbc92BD86F8075d1DEcc58C7F4E0107f286b,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xEb477AE74774b697B5D515eF8ca09e24FEe413b5,"{""usd"":79657.74870600973,""base"":3457.74,""quote"":51379}",18.0546,19.49
192,metis,tethys,WETH,0x420000000000000000000000000000000000000A,Metis,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,0xEE5adB5b0DfC51029Aca5Ad4Bc684Ad676b307F7,"{""usd"":233346,""base"":93.71,""quote"":6970}",46.3377,1570.44
193,aptos,aux,WBTC,0xae478ff7d83ed072dbc5e264250e67ef58f57c99d89b447efd8a0a2e8b2be76e::coin::T,USDC,0x5e156f1207d0ebfa19a9eeff00d62a282278fb8719f4fab3a586a0a2c0fffbea::coin::T,aux-0xae478ff7d83ed072dbc5e264250e67ef58f57c99d89b447efd8a0a2e8b2be76e-coin-t-0x5e156f1207d0ebfa19a9eeff00d62a282278fb8719f4fab3a586a0a2c0fffbea-coin-t,"{""usd"":1966510,""base"":58.61,""quote"":983255}",22818.1036,22864.44
194,bsc,0x940BEb635cbEeC04720AC97FADb97205676e6aa4,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x30b4a9a0A4Be2129F9153029506F3Bc3176fe225,"{""usd"":96644.57047368001,""base"":188.19,""quote"":48322}",309.4231,309.6
195,moonbeam,beamswap,ETH,0xfA9343C3897324496A05fC75abeD6bAC29f8A40f,USDC,0x818ec0A7Fe18Ff94269904fCED6AE3DaE6d6dC0b,0x6BA3071760d46040FB4dc7B627C9f68efAca3000,"{""usd"":230338,""base"":92.38,""quote"":115169}",1555.4164,1570.44
196,ethereum,sushiswap,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x58Dc5a51fE44589BEb22E8CE67720B5BC5378009,"{""usd"":307846,""base"":287930,""quote"":123.2}",0.0006412,1.01
197,polygon,mmfinance,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x1aEc8fF1C39c34338327A32bBb35011432614172,"{""usd"":116977.996286,""base"":3.49,""quote"":58489}",22730.4769,22864.44
